1 0 1144
2 1144 1171
3 2315 6751
4 9066 2222
5 11288 2075
6 13363 6778
7 20141 3864
8 24005 856
9 24861 1898
10 26759 3198
11 29957 1726
12 31683 2363
13 34046 1257
14 35303 3508
15 38811 4904
16 43715 4762
17 48477 6367
18 54844 3783
19 58627 856
20 59483 4537
21 64020 4341
22 68361 565
23 68926 1061
24 69987 1672
25 71659 3879
26 75538 3917
27 79455 5375
28 84830 2968
29 87798 2281
30 90079 3372
31 93451 888
32 94339 8266
33 102605 975
34 103580 3176
35 106756 2447
36 109203 2755
37 111958 4040
