1 0 3779
2 3779 1674
3 5453 2724
4 8177 537
5 8714 4173
6 12887 6095
7 18982 1761
8 20743 3616
9 24359 2478
10 26837 6047
11 32884 5804
12 38688 7790
13 46478 4963
14 51441 931
15 52372 1297
16 53669 2057
17 55726 4089
18 59815 3518
19 63333 630
20 63963 4083
21 68046 2934
22 70980 2877
23 73857 3529
24 77386 5636
25 83022 4671
26 87693 5118
27 92811 2731
28 95542 9192
29 104734 9430
30 114164 5572
31 119736 2047
32 121783 7379
33 129162 3512
34 132674 3758
35 136432 2632
36 139064 8390
37 147454 1332
38 148786 1908
39 150694 3112
40 153806 4584
41 158390 2049
42 160439 1225
43 161664 1245
44 162909 5313
45 168222 2807
46 171029 4040
47 175069 1162
48 176231 2048
49 178279 2170
50 180449 1363
51 181812 2918
52 184730 1610
53 186340 5322
54 191662 763
55 192425 558
56 192983 887
57 193870 698
58 194568 559
59 195127 597
60 195724 1367
61 197091 3550
62 200641 3765
63 204406 538
64 204944 2111
65 207055 1364
66 208419 3422
67 211841 6276
68 218117 3294
69 221411 5350
70 226761 3036
71 229797 3837
72 233634 3316
73 236950 3065
74 240015 2127
75 242142 1961
76 244103 3224
77 247327 3803
78 251130 237
79 251367 2198
80 253565 3835
81 257400 3648
82 261048 11178
83 272226 10101
84 282327 2077
85 284404 3850
86 288254 3474
87 291728 4244
88 295972 1543
89 297515 1484
90 298999 2379
91 301378 1976
92 303354 3128
93 306482 2787
94 309269 2414
95 311683 1977
96 313660 1583
97 315243 2582
98 317825 2029
99 319854 3774
100 323628 965
101 324593 1230
102 325823 1949
103 327772 1461
104 329233 3834
105 333067 5741
106 338808 2263
107 341071 2925
108 343996 1527
109 345523 5773
110 351296 2681
111 353977 1310
112 355287 1288
113 356575 1357
114 357932 7978
115 365910 1735
116 367645 2853
117 370498 1265
118 371763 1453
119 373216 5147
120 378363 3064
121 381427 1319
122 382746 2811
123 385557 1466
124 387023 952
125 387975 2798
126 390773 1517
127 392290 930
128 393220 3023
129 396243 1245
130 397488 8802
131 406290 2631
132 408921 1647
133 410568 2257
134 412825 2013
135 414838 6276
136 421114 2101
137 423215 1589
138 424804 3170
139 427974 4082
140 432056 2706
141 434762 2905
142 437667 1059
143 438726 1441
144 440167 5528
145 445695 3641
146 449336 2103
147 451439 5831
148 457270 6803
149 464073 1243
150 465316 1542
151 466858 379
152 467237 2221
153 469458 2968
154 472426 1242
155 473668 944
156 474612 1890
157 476502 2989
158 479491 6908
159 486399 2683
160 489082 1585
161 490667 1790
162 492457 1727
163 494184 982
164 495166 8981
165 504147 5632
166 509779 5690
167 515469 5507
168 520976 6764
169 527740 2095
170 529835 19478
171 549313 7702
172 557015 1841
173 558856 1259
174 560115 3057
175 563172 1879
176 565051 2714
177 567765 4196
178 571961 1434
179 573395 616
180 574011 6593
181 580604 2437
182 583041 1850
183 584891 3368
184 588259 1910
185 590169 13780
186 603949 563
187 604512 1661
188 606173 3052
189 609225 2389
190 611614 2853
191 614467 18395
192 632862 444
193 633306 454
194 633760 470
195 634230 514
196 634744 484
197 635228 492
198 635720 516
199 636236 552
200 636788 500
201 637288 530
202 637818 506
203 638324 498
204 638822 514
205 639336 482
206 639818 550
207 640368 1504
208 641872 3289
209 645161 1228
210 646389 1804
211 648193 4581
212 652774 1107
213 653881 4248
214 658129 1851
215 659980 2173
216 662153 237
217 662390 4983
218 667373 2657
219 670030 2627
220 672657 387
221 673044 1553
222 674597 1526
223 676123 2215
224 678338 1519
225 679857 1107
226 680964 2693
227 683657 1041
228 684698 355
229 685053 4603
230 689656 1310
231 690966 919
232 691885 3944
233 695829 1366
234 697195 3154
235 700349 2649
236 702998 562
237 703560 1315
238 704875 1264
239 706139 2524
240 708663 1223
241 709886 8175
242 718061 616
243 718677 1361
244 720038 7441
245 727479 3894
246 731373 3741
247 735114 3493
248 738607 7035
249 745642 4948
250 750590 1686
251 752276 1620
252 753896 2063
253 755959 1368
254 757327 532
255 757859 1381
256 759240 2323
257 761563 4518
258 766081 1564
259 767645 11584
260 779229 2079
261 781308 842
262 782150 944
263 783094 1085
264 784179 1850
265 786029 741
266 786770 11597
267 798367 1808
268 800175 2990
269 803165 3771
270 806936 975
271 807911 2235
272 810146 1254
273 811400 4788
274 816188 336
275 816524 7081
276 823605 1068
277 824673 1807
278 826480 2592
